,economic_left_pct,economic_left_8val,economic_left_sap,authority_pct,authority_8val,authority_sap,progressive_8val,progressive_sap
economic_left_pct,1.0,0.9207746404051111,0.9062652120308848,-0.0021650122865620645,-0.2898138674697003,0.5124987801336863,0.08128198817459434,-0.0218620604495736
economic_left_8val,0.9207746404051111,1.0,0.9175218373821813,0.03246582971407331,-0.24216279197330084,0.5532947290930323,0.24167654001269398,0.18180920927621286
economic_left_sap,0.9062652120308848,0.9175218373821813,1.0,-0.08124818691126674,-0.25915413767821893,0.40251544564720304,0.17061907890503997,-0.004949178223689533
authority_pct,-0.0021650122865620645,0.03246582971407331,-0.08124818691126674,1.0,0.7411057231819507,0.027019927840774793,0.643648770982094,0.7189448948347741
authority_8val,-0.2898138674697003,-0.24216279197330084,-0.25915413767821893,0.7411057231819507,1.0,-0.19007423473843807,0.7282404968454156,0.559663316413021
authority_sap,0.5124987801336863,0.5532947290930323,0.40251544564720304,0.027019927840774793,-0.19007423473843807,1.0,0.03673930086843522,0.15914869949624122
progressive_8val,0.08128198817459434,0.24167654001269398,0.17061907890503997,0.643648770982094,0.7282404968454156,0.03673930086843522,1.0,0.7872705955397056
progressive_sap,-0.0218620604495736,0.18180920927621286,-0.004949178223689533,0.7189448948347741,0.559663316413021,0.15914869949624122,0.7872705955397056,1.0
